id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
186123,HAI-1989-1-244-2,1989,true,Clear,1,381,381,Haiti: Government,814,814,Government of Haiti - Military faction (forces of Himmler Rebu and Guy Francois),6,6,Government of Haiti,763,763,Military faction (forces of Himmler Rebu and Guy Francois),-1,"Reuters 4 April 1989 ""Uprising contained, Haitian official says"" /AP 4 April 1989 ""Loyal troops in Haiti clash with rebel units"" /St. Louis Post-Dispatch 4 April 1989 ""LOYALISTS, REBELS CLASH NEarCAPITAL OF HAITI",,,,radio reports /witnesses,1,Port-au-Prince city,"Delmas, near the barracks of the Leopards battalion, Port-au-prince",Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1989-04-03 00:00:00.000,1989-04-03 00:00:00.000,1,8,0,0,9,9,9,41,
186122,HAI-1989-1-244-999,1989,true,Clear,1,381,381,Haiti: Government,814,814,Government of Haiti - Military faction (forces of Himmler Rebu and Guy Francois),6,6,Government of Haiti,763,763,Military faction (forces of Himmler Rebu and Guy Francois),-1,"Reuters 6 April 1989 ""REBEL TROOPS STILL DEFY GOVERNMENT.",,,,Radio Haiti and Radio Inter,1,Port-au-Prince city,Port-au-prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1989-04-05 00:00:00.000,1989-04-05 00:00:00.000,0,0,0,1,1,1,1,41,
186087,HAI-1989-1-244-998,1989,true,Clear,1,381,381,Haiti: Government,814,814,Government of Haiti - Military faction (forces of Himmler Rebu and Guy Francois),6,6,Government of Haiti,763,763,Military faction (forces of Himmler Rebu and Guy Francois),-1,"Reuters 7 April 1989 ""RADIO SILENCED, CLASHES REPORTED IN HAITI STANDOFF",,,,military sources / rebel sources,1,Port-au-Prince city,Port-au-prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,1989-04-06 00:00:00.000,1989-04-06 00:00:00.000,0,4,0,0,4,12,4,41,
186124,HAI-1989-1-244-990,1989,true,Clear,1,381,381,Haiti: Government,814,814,Government of Haiti - Military faction (forces of Himmler Rebu and Guy Francois),6,6,Government of Haiti,763,763,Military faction (forces of Himmler Rebu and Guy Francois),-1,"The globe and Mail 8 April 1989 ""Haiti's loyalists battle army rebels at palace"" / St. Louis Post-Dispatch 9 April 1989 ""SOLDIERS OUST MUTINEERS FROM BARRACKS, HAITI SAYS"" /The globe and mail 10 April 1989 ""Haiti's loyalists win shootout with rebel Dessalines Battalion"" / Washington Post 10 April 1989 ""Haitian Military Ruler Quashes Army Mutiny; At Least 30 Troops Said Killed in Fighting"" /The Globe and Mail 11 April 1989 ""President assures Haitians military rebellion now under control",,,,gov source / radio /military source,1,Port-au-Prince city,"in front of the presidential palace, Port-au-prince",Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,2,1989-04-07 00:00:00.000,1989-04-08 00:00:00.000,5,25,4,0,34,35,7,41,
186086,HAI-1991-1-251-4,1991,true,Clear,1,381,381,Haiti: Government,815,815,Government of Haiti - Military faction (forces of Raol Cédras),6,6,Government of Haiti,764,764,Military faction (forces of Raol Cédras),-1,"Reuters 1 Oct 1991 ""HAITI AWAKENS TO NEW MILITARY LEADERS, PRESIDENT IN EXILE."" /Reuters 3 Oct 1991 ""HAITIAN MILITARY RULerSAYS HE WILL MEET OAS MISSION."" / The Globe and Mail 4 Oct 1991 ""Junta leaderdefies calls to step down Haitian general agrees to receive OAS mission"" / Kitchener-Waterloo Record 10 Oct 1991 ""Haiti spurns ultimatum, dares West to retaliate"" / The Haitian Centre forRights and Liberties, Chadel, in a report issued on 3rd December""conflicting reports on coup victims - OAS and human rights missions arrive."" /New York Times 4 Nov 1991 ""Haitian General Says Misdeeds Prompted the Coup",,,,officials / witnesses /human rights groups,1,Port-au-Prince city,Port-au-prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,2,2,1991-09-30 00:00:00.000,1991-10-02 00:00:00.000,0,0,0,160,160,359,55,41,
186077,HAI-2004-1-440-37,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,-1,Attention-Updates 7/1,,,,Witnesses,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,18.539170,-72.335000,POINT (-72.335 18.53917),156456,Haiti,HTI,41,Americas,1,1,2004-01-07 00:00:00.000,2004-01-07 00:00:00.000,0,0,1,0,1,1,1,41,
186074,HAI-2004-1-440-36,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Agence France Presse,2004-01-27,One killed in Haiti unrest amid new student protests.""",Agence France Presse,2004-01-27,One killed in Haiti unrest amid new student protests.,Witnesses,1,Gonaives town,,L'Artibonite department,Gonaïves arrondissement,19.447490,-72.689030,POINT (-72.68903 19.44749),157175,Haiti,HTI,41,Americas,1,1,2004-01-24 00:00:00.000,2004-01-24 00:00:00.000,0,0,1,0,1,1,1,41,
186075,HAI-2004-1-440-35,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,1,"""Agence France Presse,2004-01-27,11 wounded in mounting anti-government protests in Haiti.""",Agence France Presse,2004-01-27,11 wounded in mounting anti-government protests in Haiti.,Witnesses,1,Gonaives town,Gonaives,L'Artibonite department,Gonaïves arrondissement,19.447490,-72.689030,POINT (-72.68903 19.44749),157175,Haiti,HTI,41,Americas,1,1,2004-01-26 00:00:00.000,2004-01-26 00:00:00.000,0,0,1,0,1,1,1,41,
186101,HAI-2004-1-440-34,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,2,"""Associated Press Newswires,2004-02-21,Haiti's police, often brutal and corrupt, fleeing rebels in droves"";""Associated Press Newswires,2004-02-21,Haiti's police, often brutal and corrupt, are fleeing rebels in droves""",Associated Press Newswires;Associated Press Newswires,2004-02-21;2004-02-21,"Haiti's police, often brutal and corrupt, fleeing rebels in droves;Haiti's police, often brutal and corrupt, are fleeing rebels in droves","Press reports, Radio Stations, Hospital officials, witnesses",6,Haiti,"Gonaives at first between February 5 to 7 and then it spread on February 7 to the cities: St. Marc, L'Estere, Anse Rouge and Grand-Goave in the west and Petite Riviere de l'Artibonite, Gros Morne, Trou du Nord, St. Raphael, Ennery and Dondon in the north - at least 9 towns were under rebels control. On February 16 the rebels seized the central town of Hinche in an attack on the police station killing 3.",,,19.000000,-72.416700,POINT (-72.4167 19),157176,Haiti,HTI,41,Americas,2,4,2004-02-05 00:00:00.000,2004-02-18 00:00:00.000,27,0,0,1,28,60,28,41,
186103,HAI-2004-1-440-32,2004,true,Clear,1,381,381,Haiti: Government,816,816,Government of Haiti - FLRN,6,6,Government of Haiti,765,765,FLRN,-1,"Reuters 5/3 2004, AP 15/4 2004",,,,The Pan American health organization,6,Haiti,,,,19.000000,-72.416700,POINT (-72.4167 19),157176,Haiti,HTI,41,Americas,2,4,2004-02-05 00:00:00.000,2004-03-05 00:00:00.000,0,0,0,73,73,200,0,41,
