id,year,conflict_dset_id,conflict_new_id,dyad_new_id,dyad_name,side_a,side_b,number_of_sources,source_office,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,event_clarity,date_prec,date_event,total_deaths_best_estimate
193541,1999,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,.,witnesses,1,Port-au-Prince city,"Belair, a slum in Haiti's capital",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,1999-04-20 00:00:00.000,0
193540,1999,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,.,"MICIVIH, police, relatives",1,Port-au-Prince city,"Carresour Seuilles neighborhood, Carrefour Feuilles shantytown, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,1999-05-28 00:00:00.000,11
186077,2004,381,381,816,Government of Haiti - FLRN,Government of Haiti,FLRN,-1,,,Witnesses,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2004-01-07 00:00:00.000,1
186104,2004,381,381,817,Government of Haiti - OP Lavalas,Government of Haiti,OP Lavalas,1,EFE News Service,French official narrowly escapes attack in Haitian capital,An official,1,Port-au-Prince city,Site Soleil Slum,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2004-08-31 00:00:00.000,0
186105,2004,381,381,817,Government of Haiti - OP Lavalas,Government of Haiti,OP Lavalas,-1,,,Authorities,1,Port-au-Prince city,La Saline,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,2,2,2004-09-29 00:00:00.000,12
186093,2004,381,381,817,Government of Haiti - OP Lavalas,Government of Haiti,OP Lavalas,-1,,,Anna Gilmour,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,2,4,2004-09-30 00:00:00.000,30
186078,2004,381,381,817,Government of Haiti - OP Lavalas,Government of Haiti,OP Lavalas,-1,,,Residents of Port-au-Prince slum,1,Port-au-Prince city,Port-au-Prince slum,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2004-10-27 00:00:00.000,13
186079,2004,381,381,817,Government of Haiti - OP Lavalas,Government of Haiti,OP Lavalas,-1,,,Eyewitnesses,1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2004-11-19 00:00:00.000,6
193551,2004,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Human Rights Watch,Human Rights Watch Annual Report 2005 Haiti,"National
Coalition for Haitian Rights",1,Port-au-Prince city,"Fort National, a poor area of Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2004-10-26 00:00:00.000,0
107907,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,Haitians accuse police of killing radio journalist,witnesses and a human rights group,1,Port-au-Prince city,"Village de Dieu, a Port-au-Prince shantytown believed to be a bastion of gangs loyal to former President Jean-Bertrand Aristide",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-01-20 00:00:00.000,4
186130,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,ICG,Spoiling Security in Haiti,Victima,1,Port-au-Prince city,"Rue St Martin and Rue Tiremasse, Bel Air, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-02-25 00:00:00.000,6
186131,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,"Police open fire during Haiti protest, one killed",witnesses,1,Port-au-Prince city,"Bel Air, Port-au-Prince slum",Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-02-28 00:00:00.000,3
186132,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,At least five die in gunfire at Haiti demo,"Renan Etienne, central director for Haiti's administrative police AND 21-year-old Romel Dorisma giving different views of what happen.",1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-04-27 00:00:00.000,5
186134,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Dow Jones International News,"""Gunfire Erupts As Police,Peacekeepers Move Into Haiti Slum""",Residents and victims wife,1,Port-au-Prince city,Port-au-Prince slum of Bel Air,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-04-28 00:00:00.000,1
186133,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Dow Jones International News,Hundreds Of UN Troops Raid Slum In Haiti's Capital,residents,1,Port-au-Prince city,slums of Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2005-08-06 00:00:00.000,1
186135,2005,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Reuters,"U.N. to investigate Haiti slum lynchings"", San Fransisco Bay View","Lionel Mondestin, community leader,",1,Port-au-Prince city,Port-au-Prince,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,2,2,2005-08-19 00:00:00.000,20
387853,2017,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,2,RNDDH;The Intercept,Opération du 13 novembre 2017 : de l’intervention policière à l’exécution sommaire;A U.N.-BACKED POLICE FORCE CARRIED OUT A MASSACRE IN HAITI. THE KILLINGS HAVE BEEN ALMOST ENTIRELY IGNORED.,witnesses,1,Port-au-Prince city,,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2017-11-13 00:00:00.000,8
277540,2018,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,3,US Department of the Treasury;National Human Rights Defense Network (RNDDH);National Human Rights Defense Network (RNDDH),"Treasury Sanctions Serious Human Rights Abusers on International Human Rights Day;Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil;Attacks on deprived neighborhoods: The RNDDH demands the end of the protection of armed gangs by the authorities in power","official sources, witnesses",1,Cité Soleil town,La Saline neighbourhood,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,2,2018-11-13 00:00:00.000,71
359682,2020,6,444,911,Government of Haiti - Civilians,Government of Haiti,Civilians,1,Haiti Libre,"A student shot dead, smear of the Palace security officers ?",Students,1,Port-au-Prince city,,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),156456,Haiti,1,1,2020-10-03 00:00:00.000,1
354746,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,2,4,2020-06-01 00:00:00.000,1
354692,2020,7793,15080,16462,G9 - Civilians,G9,Civilians,1,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",1,Cité Soleil town,"Cité Soleil, Port-au-Prince",Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),156456,Haiti,1,1,2020-06-03 00:00:00.000,3
