Secteurs/Clusters,Acronyme,Nom de l'organisation,ORG_Aconym_en,ORG_Name_en,Type d'organisation,Département,adm1code,Commune,adm2code
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Cité Soleil,HT0117
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Cité Soleil,HT0117
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Croix-Des-Bouquets,HT0131
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Croix-Des-Bouquets,HT0131
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Port-au-Prince,HT0111
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Port-au-prince,HT0111
Education,APADEH,Action Pastorale pour le Developpement Humain,APADEH,Action Pastorale pour le Developpement Humain,ONG nationale,Ouest,HT01,Tabarre,HT0118
Education,ABV,Aide aux Bénéficiaires Vulnérables,ABV,Aide aux Bénéficiaires Vulnérables,ONG nationale,Ouest,HT01,Carrefour,HT0113
Education,ABV,Aide aux Bénéficiaires Vulnérables,ABV,Aide aux Bénéficiaires Vulnérables,ONG nationale,Ouest,HT01,Port-au-Prince,HT0111
Education,CADEH,Coordination des Actions pour le Développement Humain,CADEH,Coordination Des Actions Pour Le Développement Humain,ONG nationale,Ouest,HT01,Pétion-Ville,HT0114
Education,CADEH,Coordination des Actions pour le Développement Humain,CADEH,Coordination Des Actions Pour Le Développement Humain,ONG nationale,Ouest,HT01,Pétion-Ville,HT0114
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Acul du Nord,HT0321
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Acul du Nord,HT0321
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Bahon,HT0332
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Cap-Haïtien,HT0311
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Capotille,HT0422
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Caracol,HT0434
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Carice,HT0442
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Ferrier,HT0412
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Fort-Liberté,HT0411
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Limonade,HT0313
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Milot,HT0323
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Mombin Crochu,HT0443
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Ouanaminthe,HT0421
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Perches,HT0413
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord,HT03,Plaine du Nord,HT0322
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Sainte Suzanne,HT0432
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Terrier Rouge,HT0433
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Trou du Nord,HT0431
Education,CRS,Catholic Relief Services,CRS,Catholic Relief Services,ONG internationale,Nord-Est,HT04,Vallières,HT0441
