id,year,side_a,side_b,source_office,source_headline,source_original,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,country,date_event,total_deaths_best_estimate
359682,2020,Government of Haiti,Civilians,Haiti Libre,"A student shot dead, smear of the Palace security officers ?",Students,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-10-03 00:00:00.000,1
392786,2021,Government of Haiti,Civilians,Haiti Infos Pro,Police operation: at least three corpses identified at Portail Léogane,witnesses,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2021-03-11 00:00:00.000,3
404464,2021,Government of Haiti,Civilians,Van Bef Info,"A mechanic shot dead in the city center, a soldier pointed out",eyewitnesses,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2021-05-08 00:00:00.000,1
432892,2022,Government of Haiti,Civilians,Haiti Libre;Haiti Libre;Reuters,"Haiti - FLASH : Demonstration, 4 journalists injured including one fatally;Haiti - Justice : Death of Journalist Maxihen Lazzare, police could be involved;Haiti police open fire on demonstrators, one journalist killed",,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2022-02-23 00:00:00.000,1
510189,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-02-27 00:00:00.000,7
510159,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-02-28 00:00:00.000,20
510179,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-01 00:00:00.000,9
510182,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-02 00:00:00.000,3
510164,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-03 00:00:00.000,20
510166,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-05 00:00:00.000,20
510184,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-06 00:00:00.000,1
510185,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-07 00:00:00.000,1
510186,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-08 00:00:00.000,1
510187,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-08 00:00:00.000,1
510188,2023,Government of Haiti,Civilians,The National Human Rights Defense Network (RNDDH),The reign of Prime Minister Ariel HENRY Or The fury of the armed gangs,RNDDH,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2023-03-12 00:00:00.000,1
563134,2024,Government of Haiti,Civilians,UN Integrated Office in Haiti (BINUH),QUARTERLY REPORT ON THE HUMAN RIGHTS SITUATION IN HAITI,BINUH,Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2024-03-14 00:00:00.000,0
354746,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-01 00:00:00.000,1
354692,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-03 00:00:00.000,3
354695,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-10 00:00:00.000,1
354696,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-13 00:00:00.000,1
354738,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-16 00:00:00.000,3
354739,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-25 00:00:00.000,1
354742,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-26 00:00:00.000,2
354745,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-06-28 00:00:00.000,1
354751,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-01 00:00:00.000,3
354809,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-01 00:00:00.000,39
354750,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-02 00:00:00.000,2
354753,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-03 00:00:00.000,11
354755,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-04 00:00:00.000,7
354760,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-06 00:00:00.000,1
354761,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-07 00:00:00.000,2
354762,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-08 00:00:00.000,1
354763,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-10 00:00:00.000,1
354764,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-11 00:00:00.000,4
354765,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-12 00:00:00.000,6
354767,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-16 00:00:00.000,1
354771,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-19 00:00:00.000,4
354772,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-20 00:00:00.000,3
354774,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-23 00:00:00.000,1
354775,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-25 00:00:00.000,1
354778,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-27 00:00:00.000,1
354780,2020,G9,Civilians,National Human Rights Defense Network (RNDDH),"Assassinations, Ambushes, Hostage-taking, Rape, Fires, Raids: The authorities in power have installed terror in Cité Soleil","Several official sources, as well as testimony from witnesses.",Cité Soleil town,Ouest department,Port-au-Prince arrondissement,"402,0395833","-233,4770833",POINT (-72.331887 18.577857),Haiti,2020-07-28 00:00:00.000,1
407045,2020,G9,Civilians,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-08-27 00:00:00.000,1
407047,2020,G9,Civilians,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-08-27 00:00:00.000,3
407052,2020,G9,Civilians,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-09-03 00:00:00.000,1
380959,2020,G9,Civilians,Vant Bef Info,Haiti / Security: Tension in Bel-Air: At least two dead and several houses set on fire,,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-09-19 00:00:00.000,2
407054,2020,G9,Civilians,RNDDH,MASSACRES IN BEL-AIR AND CITÉ SOLEIL UNDER THE INDIFFERENT GAZE OF STATE AUTHORITIES,RNDDH report,Port-au-Prince city,Ouest department,Port-au-Prince arrondissement,"375,1736111","-235,6388889",POINT (-72.335 18.53917),Haiti,2020-10-04 00:00:00.000,1
