WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
############,Caribbean,Haiti,Ouest,Battles,Armed clash,29,99,112897,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,12,42,92773,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,14,18,176390,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,24,74,129106,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,12,62,78288,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,18,99,152474,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,25,83,155487,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,37,109,399960,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,12,12,149316,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,26,28,345707,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,15,59,199554,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,9,33,62162,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,14,41,200680,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,9,18,139053,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,5,6,13516,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,10,59,163176,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,6,34,73100,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,8,18,69101,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,7,34,132090,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,6,23,39463,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,11,24,107733,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,15,104,181682,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,18,48,185456,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,7,31,59588,Political violence,1144,"18,6173","-72,1737"
############,Caribbean,Haiti,Ouest,Battles,Armed clash,8,17,111827,Political violence,1144,"18,6173","-72,1737"
